date,equity
2023-06-30,105434.46
2023-06-30,105421.36
2023-06-30,105421.36
2023-06-30,105252.96
2023-06-30,105252.96
2023-06-30,105252.96
2023-06-30,105252.96
2023-06-30,105252.96
2023-06-30,105252.96
2023-06-30,105676.3
2023-06-30,105676.3
2023-06-30,105676.3
2023-06-30,105676.3
2023-06-30,105676.3
2023-06-30,105676.3
2023-06-30,105676.3
2023-09-29,105676.3
2023-09-29,106021.83
2023-09-29,106021.83
2023-09-29,106021.83
2023-09-29,106021.83
2023-09-29,106225.43
2023-09-29,106225.43
2023-09-29,106161.64
2023-09-29,106161.64
2023-09-29,106261.5
2023-09-29,106678.16
2023-09-29,106681.35
2023-09-29,106681.35
2023-09-29,106681.35
2023-09-29,106681.35
2023-09-29,106807.22
2023-09-29,106682.41
2023-09-29,107042.04
2023-09-29,107141.19
2023-09-29,107141.19
2023-12-29,106972.22
2023-12-29,107091.44
2023-12-29,107091.44
2023-12-29,107093.17
2023-12-29,107315.14
2023-12-29,107136.39
2023-12-29,107136.39
2023-12-29,107291.01
2023-12-29,107302.12
2023-12-29,107302.12
2023-12-29,107302.12
2023-12-29,107302.12
2023-12-29,107315.87
2023-12-29,107315.87
2023-12-29,107315.87
2023-12-29,107173.84
2023-12-29,107444.18
2023-12-29,107584.54
2023-12-29,107804.06
2023-12-29,107804.06
2024-03-29,107806.98
2024-03-29,107806.98
2024-03-29,107806.98
2024-03-29,107477.16
2024-03-29,107602.55
2024-03-29,107407.09
2024-03-29,107407.09
2024-03-29,107407.09
2024-03-29,107665.07
2024-03-29,107665.07
2024-03-29,107665.07
2024-03-29,107981.88
2024-03-29,108098.88
2024-03-29,108098.88
2024-03-29,108068.46
2024-03-29,108262.42
2024-03-29,108412.18
2024-03-29,108411.29
2024-03-29,108411.29
2024-03-29,108646.74
2024-06-28,108646.74
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108605.27
2024-06-28,108751.83
2024-06-28,108787.16
2024-06-28,108787.16
2024-06-28,108787.16
2024-06-28,109069.85
2024-06-28,108980.69
2024-06-28,108980.69
2024-06-28,108980.69
2024-06-28,108980.69
2024-06-28,109166.77
2024-09-30,109166.77
2024-09-30,109166.77
2024-09-30,109166.77
2024-09-30,109318.58
2024-09-30,109054.0
2024-09-30,109322.1
2024-09-30,109322.1
2024-09-30,109322.1
2024-09-30,109322.1
2024-09-30,109210.97
2024-09-30,109210.97
2024-09-30,109182.04
2024-09-30,109182.04
2024-09-30,109182.04
2024-09-30,109357.3
2024-09-30,109183.38
2024-09-30,109206.18
2024-09-30,109206.18
2024-09-30,109206.18
2024-09-30,109378.17
2024-12-31,109438.73
2024-12-31,109438.73
2024-12-31,109438.73
2024-12-31,109435.52
2024-12-31,109435.52
2024-12-31,109435.52
2024-12-31,109786.09
2024-12-31,109889.8
2024-12-31,110027.29
2024-12-31,110027.29
2024-12-31,110092.74
2024-12-31,110206.1
2024-12-31,110206.1
2024-12-31,110274.2
2024-12-31,110274.2
2024-12-31,110317.29
2024-12-31,110207.22
2024-12-31,110427.82
2024-12-31,110436.02
2024-12-31,110436.02
2025-03-31,110436.02
2025-03-31,110436.02
2025-03-31,110436.02
2025-03-31,110436.02
2025-03-31,110436.02
2025-03-31,110361.89
2025-03-31,110361.89
2025-03-31,110485.52
2025-03-31,110709.52
2025-03-31,110709.52
2025-03-31,110840.79
2025-03-31,110888.1
2025-03-31,110888.1
2025-03-31,110888.1
2025-03-31,110888.1
2025-03-31,110910.37
2025-03-31,111016.09
2025-03-31,111016.09
2025-03-31,111334.28
2025-03-31,111432.13
2025-06-30,111543.99
2025-06-30,111543.99
2025-06-30,111543.99
2025-06-30,111543.99
2025-06-30,111595.96
2025-06-30,111595.96
2025-06-30,111544.35
2025-06-30,111530.87
2025-06-30,111332.87
2025-06-30,111332.87
2025-06-30,111332.87
2025-06-30,111431.19
2025-06-30,111244.62
2025-06-30,111244.62
2025-06-30,111244.62
2025-06-30,111356.6
2025-06-30,111356.6
2025-06-30,111546.71
2025-06-30,111546.71
2025-06-30,111546.71
2025-09-30,111439.49
2025-09-30,111439.49
2025-09-30,112041.22
2025-09-30,112041.22
2025-09-30,111882.39
2025-09-30,111882.39
2025-09-30,112102.36
2025-09-30,112325.75
2025-09-30,112248.72
2025-09-30,112248.72
2025-09-30,112398.23
2025-09-30,112398.23
2025-09-30,112761.87
2025-09-30,112761.87
2025-09-30,113144.96
2025-09-30,113144.96
2025-09-30,113517.73
2025-09-30,113517.73
2025-09-30,113351.14
2025-09-30,113483.87
2025-12-31,113675.62
2025-12-31,113957.79
2025-12-31,113957.79
2025-12-31,113940.45
2025-12-31,114380.04
2025-12-31,114502.96
2025-12-31,114502.96
2025-12-31,114455.85
2025-12-31,114500.32
2025-12-31,114500.32
2025-12-31,114798.91
2025-12-31,115104.74
2025-12-31,115104.74
2025-12-31,115104.74
2025-12-31,115327.76
2025-12-31,115437.16
2025-12-31,115437.16
2025-12-31,115470.95
2025-12-31,115617.79
2025-12-31,115812.04
2026-03-31,115945.15
2026-03-31,115945.15
2026-03-31,115945.15
2026-03-31,115945.15
2026-03-31,116286.47
2026-03-31,116286.47
2026-03-31,116246.39
2026-03-31,116223.16
2026-03-31,116186.1
2026-03-31,116186.1
2026-03-31,116083.04
2026-03-31,116083.04
2026-03-31,116083.04
2026-03-31,116117.46
2026-03-31,116317.46
2026-03-31,116317.46
2026-03-31,116752.54
2026-03-31,116697.32
2026-03-31,116735.93
2026-03-31,116577.15
